Dátum/Idő;+A;-A
2025.05.08. 19:00;0.037;0.047
2025.05.08. 19:15;0.081;0.024
2025.05.08. 19:30;0.086;0.013
2025.05.08. 19:45;0.116;0.004
2025.05.08. 20:00;0.146;0
2025.05.08. 20:15;0.172;0
2025.05.08. 20:30;0.181;0
2025.05.08. 20:45;0.181;0
2025.05.08. 21:00;0.157;0
2025.05.08. 21:15;0.186;0
2025.05.08. 21:30;0.154;0
2025.05.08. 21:45;0.158;0
2025.05.08. 22:00;0.18;0
2025.05.08. 22:15;0.164;0
2025.05.08. 22:30;0.158;0
2025.05.08. 22:45;0.148;0
2025.05.08. 23:00;0.137;0
2025.05.08. 23:15;0.13;0
2025.05.08. 23:30;0.156;0
2025.05.08. 23:45;0.142;0
2025.05.09. 00:00;0.143;0
2025.05.09. 00:15;0.124;0
2025.05.09. 00:30;0.104;0
2025.05.09. 00:45;0.12;0
2025.05.09. 01:00;0.114;0
2025.05.09. 01:15;0.12;0
2025.05.09. 01:30;0.102;0
2025.05.09. 01:45;0.104;0
2025.05.09. 02:00;0.115;0
2025.05.09. 02:15;0.111;0
2025.05.09. 02:30;0.096;0
2025.05.09. 02:45;0.085;0
2025.05.09. 03:00;0.085;0
2025.05.09. 03:15;0.101;0
2025.05.09. 03:30;0.094;0
2025.05.09. 03:45;0.078;0
2025.05.09. 04:00;0.061;0
2025.05.09. 04:15;0.039;0
2025.05.09. 04:30;0.038;0
2025.05.09. 04:45;0.068;0
2025.05.09. 05:00;0.074;0
2025.05.09. 05:15;0.067;0
2025.05.09. 05:30;0.045;0
2025.05.09. 05:45;0.135;0
2025.05.09. 06:00;0.095;0.004
2025.05.09. 06:15;0.06;0.003
2025.05.09. 06:30;0.079;0.017
2025.05.09. 06:45;0.065;0.029
2025.05.09. 07:00;0.014;0.068
2025.05.09. 07:15;0;0.157
2025.05.09. 07:30;0;0.234
2025.05.09. 07:45;0;0.225
2025.05.09. 08:00;0;0.204
2025.05.09. 08:15;0;0.272
2025.05.09. 08:30;0;0.546
2025.05.09. 08:45;0;0.603
2025.05.09. 09:00;0;0.926
2025.05.09. 09:15;0;1.143
2025.05.09. 09:30;0;1.096
2025.05.09. 09:45;0;1.46
2025.05.09. 10:00;0;1.41
2025.05.09. 10:15;0;1.351
2025.05.09. 10:30;0;1.427
2025.05.09. 10:45;0;1.487
2025.05.09. 11:00;0;1.555
2025.05.09. 11:15;0;1.637
2025.05.09. 11:30;0;1.512
2025.05.09. 11:45;0;1.641
2025.05.09. 12:00;0;1.496
2025.05.09. 12:15;0;1.512
2025.05.09. 12:30;0;1.415
2025.05.09. 12:45;0;1.594
2025.05.09. 13:00;0;1.319
2025.05.09. 13:15;0;0.976
2025.05.09. 13:30;0;1.607
2025.05.09. 13:45;0;0.614
2025.05.09. 14:00;0;0.792
2025.05.09. 14:15;0;0.846
2025.05.09. 14:30;0;0.987
2025.05.09. 14:45;0;1.524
2025.05.09. 15:00;0;1.238
2025.05.09. 15:15;0.002;0.759
2025.05.09. 15:30;0;0.981
2025.05.09. 15:45;0;0.647
2025.05.09. 16:00;0;0.719
2025.05.09. 16:15;0;0.813
2025.05.09. 16:30;0;0.562
2025.05.09. 16:45;0;0.324
2025.05.09. 17:00;0;0.377
2025.05.09. 17:15;0;0.484
2025.05.09. 17:30;0;0.53
2025.05.09. 17:45;0;0.397
2025.05.09. 18:00;0;0.815
2025.05.09. 18:15;0;0.375
2025.05.09. 18:30;0;0.363
2025.05.09. 18:45;0;0.218
2025.05.09. 19:00;0;0.143
2025.05.09. 19:15;0.025;0.114
2025.05.09. 19:30;0.068;0.035
2025.05.09. 19:45;0.093;0.013
2025.05.09. 20:00;0.119;0.001
2025.05.09. 20:15;0.281;0
2025.05.09. 20:30;0.17;0
2025.05.09. 20:45;0.127;0
2025.05.09. 21:00;0.14;0
2025.05.09. 21:15;0.137;0
2025.05.09. 21:30;0.13;0
2025.05.09. 21:45;0.153;0
2025.05.09. 22:00;0.173;0
2025.05.09. 22:15;0.12;0
2025.05.09. 22:30;0.121;0
2025.05.09. 22:45;0.111;0
2025.05.09. 23:00;0.112;0
2025.05.09. 23:15;0.107;0
2025.05.09. 23:30;0.1;0
2025.05.09. 23:45;0.091;0
2025.05.10. 00:00;0.07;0
2025.05.10. 00:15;0.098;0
2025.05.10. 00:30;0.111;0
2025.05.10. 00:45;0.102;0
2025.05.10. 01:00;0.102;0
2025.05.10. 01:15;0.1;0
2025.05.10. 01:30;0.101;0
2025.05.10. 01:45;0.103;0
2025.05.10. 02:00;0.102;0
2025.05.10. 02:15;0.063;0
2025.05.10. 02:30;0.053;0
2025.05.10. 02:45;0.068;0
2025.05.10. 03:00;0.05;0
2025.05.10. 03:15;0.061;0
2025.05.10. 03:30;0.069;0
2025.05.10. 03:45;0.059;0
2025.05.10. 04:00;0.059;0
2025.05.10. 04:15;0.057;0
2025.05.10. 04:30;0.087;0
2025.05.10. 04:45;0.096;0
2025.05.10. 05:00;0.083;0
2025.05.10. 05:15;0.073;0
2025.05.10. 05:30;0.069;0
2025.05.10. 05:45;0.056;0.004
2025.05.10. 06:00;0.049;0.013
2025.05.10. 06:15;0.073;0.026
2025.05.10. 06:30;0.021;0.038
2025.05.10. 06:45;0.007;0.051
2025.05.10. 07:00;0.003;0.053
2025.05.10. 07:15;0;0.072
2025.05.10. 07:30;0;0.102
2025.05.10. 07:45;0;0.319
2025.05.10. 08:00;0;0.559
2025.05.10. 08:15;0.145;0.651
2025.05.10. 08:30;0;0.937
2025.05.10. 08:45;0;0.977
2025.05.10. 09:00;0;1.044
2025.05.10. 09:15;0;1.193
2025.05.10. 09:30;0;1.24
2025.05.10. 09:45;0;1.257
2025.05.10. 10:00;0;1.293
2025.05.10. 10:15;0.003;1.338
2025.05.10. 10:30;0.011;1.317
2025.05.10. 10:45;0.013;1.392
2025.05.10. 11:00;0;1.454
2025.05.10. 11:15;0;1.408
2025.05.10. 11:30;0.009;1.283
2025.05.10. 11:45;0;1.421
2025.05.10. 12:00;0.309;1.036
2025.05.10. 12:15;0.125;1.395
2025.05.10. 12:30;0.029;1.105
2025.05.10. 12:45;0.025;1.417
2025.05.10. 13:00;0.002;1.643
2025.05.10. 13:15;0;1.526
2025.05.10. 13:30;0;1.61
2025.05.10. 13:45;0;1.812
2025.05.10. 14:00;0.035;1.044
2025.05.10. 14:15;0.114;1.365
2025.05.10. 14:30;0.037;1.435
2025.05.10. 14:45;0.096;1.178
2025.05.10. 15:00;0.03;1.314
2025.05.10. 15:15;0.28;0.827
2025.05.10. 15:30;0;1.031
2025.05.10. 15:45;0;1.243
2025.05.10. 16:00;0;1.013
2025.05.10. 16:15;0;0.931
2025.05.10. 16:30;0;1.229
2025.05.10. 16:45;0;1.183
2025.05.10. 17:00;0;1.04
2025.05.10. 17:15;0;0.978
2025.05.10. 17:30;0;0.875
2025.05.10. 17:45;0.065;0.305
2025.05.10. 18:00;0.048;0.296
2025.05.10. 18:15;0;0.723
2025.05.10. 18:30;0.011;0.395
2025.05.10. 18:45;0.031;0.101
2025.05.10. 19:00;0;0.45
2025.05.10. 19:15;0;0.34
2025.05.10. 19:30;0.012;0.099
2025.05.10. 19:45;0.026;0.022
2025.05.10. 20:00;0.133;0.002
2025.05.10. 20:15;0.337;0
2025.05.10. 20:30;0.236;0
2025.05.10. 20:45;0.109;0
2025.05.10. 21:00;0.102;0
2025.05.10. 21:15;0.13;0
2025.05.10. 21:30;0.171;0
2025.05.10. 21:45;0.21;0
2025.05.10. 22:00;0.207;0
2025.05.10. 22:15;0.154;0
2025.05.10. 22:30;0.195;0
2025.05.10. 22:45;0.217;0
2025.05.10. 23:00;0.176;0
2025.05.10. 23:15;0.232;0
2025.05.10. 23:30;0.202;0
2025.05.10. 23:45;0.196;0
2025.05.11. 00:00;0.169;0
2025.05.11. 00:15;0.19;0
2025.05.11. 00:30;0.211;0
2025.05.11. 00:45;0.171;0
2025.05.11. 01:00;0.137;0
2025.05.11. 01:15;0.142;0
2025.05.11. 01:30;0.139;0
2025.05.11. 01:45;0.134;0
2025.05.11. 02:00;0.109;0
2025.05.11. 02:15;0.1;0
2025.05.11. 02:30;0.085;0
2025.05.11. 02:45;0.093;0
2025.05.11. 03:00;0.078;0
2025.05.11. 03:15;0.081;0
2025.05.11. 03:30;0.081;0
2025.05.11. 03:45;0.057;0
2025.05.11. 04:00;0.072;0
2025.05.11. 04:15;0.061;0
2025.05.11. 04:30;0.069;0
2025.05.11. 04:45;0.053;0
2025.05.11. 05:00;0.045;0
2025.05.11. 05:15;0.049;0
2025.05.11. 05:30;0.065;0
2025.05.11. 05:45;0.075;0.003
2025.05.11. 06:00;0.069;0.01
2025.05.11. 06:15;0.058;0.02
2025.05.11. 06:30;0.051;0.032
2025.05.11. 06:45;0.041;0.039
2025.05.11. 07:00;0.052;0.052
2025.05.11. 07:15;0.038;0.062
2025.05.11. 07:30;0.021;0.071
2025.05.11. 07:45;0.008;0.229
2025.05.11. 08:00;0;0.528
2025.05.11. 08:15;0;0.782
2025.05.11. 08:30;0;0.972
2025.05.11. 08:45;0;0.83
2025.05.11. 09:00;0;0.949
2025.05.11. 09:15;0.015;1.119
2025.05.11. 09:30;0;1.288
2025.05.11. 09:45;0;1.336
2025.05.11. 10:00;0;1.267
2025.05.11. 10:15;0;1.346
2025.05.11. 10:30;0;1.491
2025.05.11. 10:45;0;1.618
2025.05.11. 11:00;0;1.245
2025.05.11. 11:15;0;1.22
2025.05.11. 11:30;0;1.2
2025.05.11. 11:45;0.168;0.967
2025.05.11. 12:00;0.143;0.821
2025.05.11. 12:15;0.211;0.711
2025.05.11. 12:30;0.092;0.884
2025.05.11. 12:45;0;1.267
2025.05.11. 13:00;0;1.26
2025.05.11. 13:15;0;1.46
2025.05.11. 13:30;0.294;1.207
2025.05.11. 13:45;0.937;0.606
2025.05.11. 14:00;0.505;0.655
2025.05.11. 14:15;0.528;0.882
2025.05.11. 14:30;0.085;1.514
2025.05.11. 14:45;0.002;1.493
2025.05.11. 15:00;0;0.717
2025.05.11. 15:15;0;1.08
2025.05.11. 15:30;0;1.237
2025.05.11. 15:45;0;1.221
2025.05.11. 16:00;0;1.206
2025.05.11. 16:15;0;1.055
2025.05.11. 16:30;0;1.073
2025.05.11. 16:45;0;0.627
2025.05.11. 17:00;0;0.937
2025.05.11. 17:15;0;0.986
2025.05.11. 17:30;0;0.948
2025.05.11. 17:45;0;0.947
2025.05.11. 18:00;0;0.894
2025.05.11. 18:15;0;0.823
2025.05.11. 18:30;0.008;0.455
2025.05.11. 18:45;0.047;0.181
2025.05.11. 19:00;0.029;0.292
2025.05.11. 19:15;0.029;0.232
2025.05.11. 19:30;0.079;0.089
2025.05.11. 19:45;0.112;0.02
2025.05.11. 20:00;0.144;0.003
2025.05.11. 20:15;0.18;0
2025.05.11. 20:30;0.132;0
2025.05.11. 20:45;0.112;0
2025.05.11. 21:00;0.108;0
2025.05.11. 21:15;0.108;0
2025.05.11. 21:30;0.117;0
2025.05.11. 21:45;0.122;0
2025.05.11. 22:00;0.101;0
2025.05.11. 22:15;0.111;0
2025.05.11. 22:30;0.118;0
2025.05.11. 22:45;0.105;0
2025.05.11. 23:00;0.098;0
2025.05.11. 23:15;0.11;0
2025.05.11. 23:30;0.09;0
2025.05.11. 23:45;0.085;0
2025.05.12. 00:00;0.085;0
2025.05.12. 00:15;0.089;0
2025.05.12. 00:30;0.104;0
2025.05.12. 00:45;0.101;0
2025.05.12. 01:00;0.074;0
2025.05.12. 01:15;0.069;0
2025.05.12. 01:30;0.071;0
2025.05.12. 01:45;0.047;0
2025.05.12. 02:00;0.042;0
2025.05.12. 02:15;0.062;0
2025.05.12. 02:30;0.052;0
2025.05.12. 02:45;0.043;0
2025.05.12. 03:00;0.088;0
2025.05.12. 03:15;0.093;0
2025.05.12. 03:30;0.09;0
2025.05.12. 03:45;0.11;0
2025.05.12. 04:00;0.09;0
2025.05.12. 04:15;0.072;0
2025.05.12. 04:30;0.072;0
2025.05.12. 04:45;0.082;0
2025.05.12. 05:00;0.079;0
2025.05.12. 05:15;0.066;0
2025.05.12. 05:30;0.052;0
2025.05.12. 05:45;0.165;0
2025.05.12. 06:00;0.081;0.001
2025.05.12. 06:15;0.062;0
2025.05.12. 06:30;0.193;0.002
2025.05.12. 06:45;0.074;0.017
2025.05.12. 07:00;0.009;0.062
2025.05.12. 07:15;0.036;0.036
2025.05.12. 07:30;0.012;0.084
2025.05.12. 07:45;0.001;0.127
2025.05.12. 08:00;0;0.193
2025.05.12. 08:15;0.013;0.115
2025.05.12. 08:30;0.029;0.096
2025.05.12. 08:45;0.012;0.131
2025.05.12. 09:00;0;0.275
2025.05.12. 09:15;0;0.23
2025.05.12. 09:30;0;0.359
2025.05.12. 09:45;0;0.31
2025.05.12. 10:00;0;0.291
2025.05.12. 10:15;0;0.353
2025.05.12. 10:30;0;0.153
2025.05.12. 10:45;0;0.208
2025.05.12. 11:00;0;0.188
2025.05.12. 11:15;0;0.393
2025.05.12. 11:30;0;0.702
2025.05.12. 11:45;0;0.859
2025.05.12. 12:00;0;0.865
2025.05.12. 12:15;0;0.986
2025.05.12. 12:30;0;0.705
2025.05.12. 12:45;0;0.832
2025.05.12. 13:00;0;1.848
2025.05.12. 13:15;0;1.583
2025.05.12. 13:30;0;1.445
2025.05.12. 13:45;0;1.544
2025.05.12. 14:00;0;1.782
2025.05.12. 14:15;0;1.562
2025.05.12. 14:30;0;1.177
2025.05.12. 14:45;0;1.223
2025.05.12. 15:00;0;1.199
2025.05.12. 15:15;0;1.484
2025.05.12. 15:30;0;0.563
2025.05.12. 15:45;0;1.122
2025.05.12. 16:00;0;1.269
2025.05.12. 16:15;0;0.665
2025.05.12. 16:30;0;0.654
2025.05.12. 16:45;0;0.492
2025.05.12. 17:00;0;0.547
2025.05.12. 17:15;0;1.142
2025.05.12. 17:30;0;0.742
2025.05.12. 17:45;0;0.567
2025.05.12. 18:00;0;0.216
2025.05.12. 18:15;0;0.226
2025.05.12. 18:30;0;0.572
2025.05.12. 18:45;0;0.615
2025.05.12. 19:00;0;0.609
2025.05.12. 19:15;0;0.412
2025.05.12. 19:30;0.008;0.122
2025.05.12. 19:45;0.104;0.015
2025.05.12. 20:00;0.304;0.002
2025.05.12. 20:15;0.309;0
2025.05.12. 20:30;0.347;0
2025.05.12. 20:45;0.322;0
2025.05.12. 21:00;0.314;0
2025.05.12. 21:15;0.327;0
2025.05.12. 21:30;0.308;0
2025.05.12. 21:45;0.281;0
2025.05.12. 22:00;0.277;0
2025.05.12. 22:15;0.273;0
2025.05.12. 22:30;0.282;0
2025.05.12. 22:45;0.288;0
2025.05.12. 23:00;0.264;0
2025.05.12. 23:15;0.282;0
2025.05.12. 23:30;0.193;0
2025.05.12. 23:45;0.054;0
2025.05.13. 00:00;0.101;0
2025.05.13. 00:15;0.102;0
2025.05.13. 00:30;0.086;0
2025.05.13. 00:45;0.092;0
2025.05.13. 01:00;0.091;0
2025.05.13. 01:15;0.092;0
2025.05.13. 01:30;0.1;0
2025.05.13. 01:45;0.084;0
2025.05.13. 02:00;0.045;0
2025.05.13. 02:15;0.037;0
2025.05.13. 02:30;0.039;0
2025.05.13. 02:45;0.042;0
2025.05.13. 03:00;0.058;0
2025.05.13. 03:15;0.056;0
2025.05.13. 03:30;0.054;0
2025.05.13. 03:45;0.06;0
2025.05.13. 04:00;0.067;0
2025.05.13. 04:15;0.08;0
2025.05.13. 04:30;0.092;0
2025.05.13. 04:45;0.073;0
2025.05.13. 05:00;0.068;0
2025.05.13. 05:15;0.067;0
2025.05.13. 05:30;0.064;0
2025.05.13. 05:45;0.177;0.004
2025.05.13. 06:00;0.099;0.006
2025.05.13. 06:15;0.027;0.013
2025.05.13. 06:30;0.025;0.027
2025.05.13. 06:45;0.007;0.05
2025.05.13. 07:00;0;0.062
2025.05.13. 07:15;0;0.06
2025.05.13. 07:30;0;0.125
2025.05.13. 07:45;0;0.319
2025.05.13. 08:00;0.072;0.26
2025.05.13. 08:15;0.063;0.246
2025.05.13. 08:30;0.032;0.305
2025.05.13. 08:45;0.002;0.533
2025.05.13. 09:00;0;0.485
2025.05.13. 09:15;0;0.809
2025.05.13. 09:30;0;0.85
2025.05.13. 09:45;0;0.992
2025.05.13. 10:00;0;1.132
2025.05.13. 10:15;0;1.142
2025.05.13. 10:30;0;1.32
2025.05.13. 10:45;0;1.335
2025.05.13. 11:00;0;1.438
2025.05.13. 11:15;0;1.488
2025.05.13. 11:30;0;1.506
2025.05.13. 11:45;0;1.642
2025.05.13. 12:00;0;1.819
2025.05.13. 12:15;0;1.432
2025.05.13. 12:30;0;1.651
2025.05.13. 12:45;0;1.847
2025.05.13. 13:00;0;1.867
2025.05.13. 13:15;0;1.471
2025.05.13. 13:30;0;0.917
2025.05.13. 13:45;0;0.833
2025.05.13. 14:00;0;1.124
2025.05.13. 14:15;0;0.924
2025.05.13. 14:30;0;1.255
2025.05.13. 14:45;0;1.383
2025.05.13. 15:00;0;0.974
2025.05.13. 15:15;0;0.97
2025.05.13. 15:30;0;1.284
2025.05.13. 15:45;0;1.226
2025.05.13. 16:00;0;1.171
2025.05.13. 16:15;0;1.042
2025.05.13. 16:30;0;0.91
2025.05.13. 16:45;0;0.362
2025.05.13. 17:00;0;1.117
2025.05.13. 17:15;0;0.483
2025.05.13. 17:30;0;0.829
2025.05.13. 17:45;0.005;0.523
2025.05.13. 18:00;0;1.005
2025.05.13. 18:15;0;0.577
2025.05.13. 18:30;0;0.192
2025.05.13. 18:45;0;0.263
2025.05.13. 19:00;0.001;0.132
2025.05.13. 19:15;0.016;0.053
2025.05.13. 19:30;0.044;0.013
2025.05.13. 19:45;0.153;0.007
2025.05.13. 20:00;0.072;0.001
2025.05.13. 20:15;0.071;0
2025.05.13. 20:30;0.138;0
2025.05.13. 20:45;0.16;0
2025.05.13. 21:00;0.301;0
2025.05.13. 21:15;0.291;0
2025.05.13. 21:30;0.29;0
2025.05.13. 21:45;0.304;0
2025.05.13. 22:00;0.318;0
2025.05.13. 22:15;0.323;0
2025.05.13. 22:30;0.283;0
2025.05.13. 22:45;0.289;0
2025.05.13. 23:00;0.288;0
2025.05.13. 23:15;0.261;0
2025.05.13. 23:30;0.282;0
2025.05.13. 23:45;0.273;0
2025.05.14. 00:00;0.263;0
2025.05.14. 00:15;0.26;0
2025.05.14. 00:30;0.1;0
2025.05.14. 00:45;0.102;0
2025.05.14. 01:00;0.116;0
2025.05.14. 01:15;0.098;0
2025.05.14. 01:30;0.089;0
2025.05.14. 01:45;0.074;0
2025.05.14. 02:00;0.073;0
2025.05.14. 02:15;0.079;0
2025.05.14. 02:30;0.064;0
2025.05.14. 02:45;0.071;0
2025.05.14. 03:00;0.048;0
2025.05.14. 03:15;0.038;0
2025.05.14. 03:30;0.051;0
2025.05.14. 03:45;0.07;0
2025.05.14. 04:00;0.081;0
2025.05.14. 04:15;0.059;0
2025.05.14. 04:30;0.066;0
2025.05.14. 04:45;0.073;0
2025.05.14. 05:00;0.072;0
2025.05.14. 05:15;0.079;0
2025.05.14. 05:30;0.083;0.001
2025.05.14. 05:45;0.048;0.009
2025.05.14. 06:00;0.039;0.022
2025.05.14. 06:15;0.043;0.035
2025.05.14. 06:30;0.007;0.053
2025.05.14. 06:45;0.089;0.07
2025.05.14. 07:00;0.005;0.096
2025.05.14. 07:15;0;0.156
2025.05.14. 07:30;0;0.195
2025.05.14. 07:45;0.018;0.345
2025.05.14. 08:00;0.001;0.585
2025.05.14. 08:15;0;0.717
2025.05.14. 08:30;0;0.82
2025.05.14. 08:45;0;0.96
2025.05.14. 09:00;0;1.038
2025.05.14. 09:15;0;1.188
2025.05.14. 09:30;0;1.236
2025.05.14. 09:45;0;1.261
2025.05.14. 10:00;0;1.221
2025.05.14. 10:15;0;1.223
2025.05.14. 10:30;0;1.467
2025.05.14. 10:45;0;1.481
2025.05.14. 11:00;0;1.588
2025.05.14. 11:15;0;1.576
2025.05.14. 11:30;0;1.455
2025.05.14. 11:45;0;0.934
2025.05.14. 12:00;0;1.263
2025.05.14. 12:15;0;1.478
2025.05.14. 12:30;0;1.584
2025.05.14. 12:45;0;1.274
2025.05.14. 13:00;0;1.044
2025.05.14. 13:15;0;1.832
2025.05.14. 13:30;0;1.783
2025.05.14. 13:45;0;1.671
2025.05.14. 14:00;0;1.618
2025.05.14. 14:15;0;1.463
2025.05.14. 14:30;0;1.072
2025.05.14. 14:45;0;1.535
2025.05.14. 15:00;0;1.424
2025.05.14. 15:15;0;1.289
2025.05.14. 15:30;0;1.23
2025.05.14. 15:45;0;1.267
2025.05.14. 16:00;0;0.632
2025.05.14. 16:15;0;0.777
2025.05.14. 16:30;0;1.213
2025.05.14. 16:45;0;0.953
2025.05.14. 17:00;0.002;0.575
2025.05.14. 17:15;0;1.023
2025.05.14. 17:30;0;0.984
2025.05.14. 17:45;0;0.919
2025.05.14. 18:00;0;0.853
2025.05.14. 18:15;0;0.809
2025.05.14. 18:30;0;0.772
2025.05.14. 18:45;0;0.648
2025.05.14. 19:00;0;0.347
2025.05.14. 19:15;0;0.191
2025.05.14. 19:30;0.002;0.148
2025.05.14. 19:45;0.015;0.03
2025.05.14. 20:00;0.136;0.008
2025.05.14. 20:15;0.068;0
2025.05.14. 20:30;0.057;0
2025.05.14. 20:45;0.08;0
2025.05.14. 21:00;0.121;0
2025.05.14. 21:15;0.111;0
2025.05.14. 21:30;0.116;0
2025.05.14. 21:45;0.129;0
2025.05.14. 22:00;0.11;0
2025.05.14. 22:15;0.24;0
2025.05.14. 22:30;0.333;0
2025.05.14. 22:45;0.328;0
2025.05.14. 23:00;0.314;0
2025.05.14. 23:15;0.292;0
2025.05.14. 23:30;0.273;0
2025.05.14. 23:45;0.261;0
2025.05.15. 00:00;0.257;0
2025.05.15. 00:15;0.255;0
2025.05.15. 00:30;0.265;0
2025.05.15. 00:45;0.299;0
2025.05.15. 01:00;0.323;0
2025.05.15. 01:15;0.301;0
2025.05.15. 01:30;0.299;0
2025.05.15. 01:45;0.202;0
2025.05.15. 02:00;0.08;0
2025.05.15. 02:15;0.094;0
2025.05.15. 02:30;0.079;0
2025.05.15. 02:45;0.098;0
2025.05.15. 03:00;0.068;0
2025.05.15. 03:15;0.042;0
2025.05.15. 03:30;0.051;0
2025.05.15. 03:45;0.08;0
2025.05.15. 04:00;0.069;0
2025.05.15. 04:15;0.057;0
2025.05.15. 04:30;0.051;0
2025.05.15. 04:45;0.056;0
2025.05.15. 05:00;0.066;0
2025.05.15. 05:15;0.101;0
2025.05.15. 05:30;0.084;0
2025.05.15. 05:45;0.06;0.003
2025.05.15. 06:00;0.047;0.013
2025.05.15. 06:15;0.047;0.03
2025.05.15. 06:30;0.048;0.046
2025.05.15. 06:45;0.049;0.08
2025.05.15. 07:00;0.02;0.113
2025.05.15. 07:15;0.01;0.15
2025.05.15. 07:30;0.047;0.237
2025.05.15. 07:45;0.013;0.494
2025.05.15. 08:00;0.015;0.565
2025.05.15. 08:15;0;0.795
2025.05.15. 08:30;0;0.962
2025.05.15. 08:45;0;1.059
2025.05.15. 09:00;0;1.079
2025.05.15. 09:15;0;1.298
2025.05.15. 09:30;0;1.159
2025.05.15. 09:45;0;1.036
2025.05.15. 10:00;0;1.263
2025.05.15. 10:15;0;1.301
2025.05.15. 10:30;0;1.327
2025.05.15. 10:45;0;1.381
2025.05.15. 11:00;0;1.379
2025.05.15. 11:15;0;1.424
2025.05.15. 11:30;0;1.326
2025.05.15. 11:45;0;1.418
2025.05.15. 12:00;0;1.371
2025.05.15. 12:15;0;1.382
2025.05.15. 12:30;0;1.427
2025.05.15. 12:45;0;1.179
2025.05.15. 13:00;0;1.233
2025.05.15. 13:15;0;1.134
2025.05.15. 13:30;0;0.922
2025.05.15. 13:45;0;0.653
2025.05.15. 14:00;0;0.635
2025.05.15. 14:15;0;0.505
2025.05.15. 14:30;0.033;0.077
2025.05.15. 14:45;0.03;0.071
2025.05.15. 15:00;0;0.541
2025.05.15. 15:15;0;0.378
2025.05.15. 15:30;0;0.934
2025.05.15. 15:45;0;0.832
2025.05.15. 16:00;0;1.276
2025.05.15. 16:15;0;0.719
2025.05.15. 16:30;0;0.5
2025.05.15. 16:45;0;0.263
2025.05.15. 17:00;0.008;0.087
2025.05.15. 17:15;0.063;0.042
2025.05.15. 17:30;0.128;0.027
2025.05.15. 17:45;0.062;0.028
2025.05.15. 18:00;0.076;0.01
2025.05.15. 18:15;0.129;0.002
2025.05.15. 18:30;0.154;0.001
2025.05.15. 18:45;0.141;0.001
2025.05.15. 19:00;0.135;0.001
2025.05.15. 19:15;0.251;0.001
2025.05.15. 19:30;0.281;0.001
2025.05.15. 19:45;0.265;0.001
2025.05.15. 20:00;0.306;0
2025.05.15. 20:15;0.281;0
2025.05.15. 20:30;0.265;0
2025.05.15. 20:45;0.259;0
2025.05.15. 21:00;0.256;0
2025.05.15. 21:15;0.273;0
2025.05.15. 21:30;0.283;0
2025.05.15. 21:45;0.281;0
2025.05.15. 22:00;0.254;0
2025.05.15. 22:15;0.241;0
2025.05.15. 22:30;0.282;0
2025.05.15. 22:45;0.316;0
2025.05.15. 23:00;0.308;0
2025.05.15. 23:15;0.292;0
2025.05.15. 23:30;0.249;0
2025.05.15. 23:45;0.235;0
2025.05.16. 00:00;0.24;0
2025.05.16. 00:15;0.244;0
2025.05.16. 00:30;0.224;0
2025.05.16. 00:45;0.204;0
2025.05.16. 01:00;0.182;0
2025.05.16. 01:15;0.198;0
2025.05.16. 01:30;0.22;0
2025.05.16. 01:45;0.208;0
2025.05.16. 02:00;0.194;0
2025.05.16. 02:15;0.183;0
2025.05.16. 02:30;0.183;0
2025.05.16. 02:45;0.206;0
2025.05.16. 03:00;0.183;0
2025.05.16. 03:15;0.096;0
2025.05.16. 03:30;0.086;0
2025.05.16. 03:45;0.089;0
2025.05.16. 04:00;0.097;0
2025.05.16. 04:15;0.1;0
2025.05.16. 04:30;0.112;0
2025.05.16. 04:45;0.069;0
2025.05.16. 05:00;0.045;0
2025.05.16. 05:15;0.045;0
2025.05.16. 05:30;0.037;0.001
2025.05.16. 05:45;0.043;0.006
2025.05.16. 06:00;0.096;0.013
2025.05.16. 06:15;0.046;0.009
2025.05.16. 06:30;0.015;0.007
2025.05.16. 06:45;0.065;0.011
2025.05.16. 07:00;0.071;0.018
2025.05.16. 07:15;0.056;0.044
2025.05.16. 07:30;0.04;0.067
2025.05.16. 07:45;0.007;0.294
2025.05.16. 08:00;0;0.577
2025.05.16. 08:15;0;0.88
2025.05.16. 08:30;0;1.046
2025.05.16. 08:45;0;1.094
2025.05.16. 09:00;0;1.239
2025.05.16. 09:15;0;1.363
2025.05.16. 09:30;0;1.38
2025.05.16. 09:45;0;1.388
2025.05.16. 10:00;0;1.402
2025.05.16. 10:15;0;1.472
2025.05.16. 10:30;0;1.559
2025.05.16. 10:45;0;1.642
2025.05.16. 11:00;0;1.696
2025.05.16. 11:15;0;1.634
2025.05.16. 11:30;0;1.852
2025.05.16. 11:45;0;1.099
2025.05.16. 12:00;0;1.78
2025.05.16. 12:15;0;1.199
2025.05.16. 12:30;0;1.106
2025.05.16. 12:45;0;1.657
2025.05.16. 13:00;0;1.481
2025.05.16. 13:15;0;1.514
2025.05.16. 13:30;0;1.114
2025.05.16. 13:45;0;1.455
2025.05.16. 14:00;0;1.438
2025.05.16. 14:15;0;0.944
2025.05.16. 14:30;0;0.674
2025.05.16. 14:45;0;1.266
2025.05.16. 15:00;0;0.753
2025.05.16. 15:15;0;0.343
2025.05.16. 15:30;0;0.449
2025.05.16. 15:45;0;0.967
2025.05.16. 16:00;0;0.89
2025.05.16. 16:15;0;0.978
2025.05.16. 16:30;0;1.021
2025.05.16. 16:45;0;0.948
